date,price
2023-01-23,167.97
2023-01-24,167.7
2023-01-25,168.82
2023-01-26,169.43
2023-01-27,169.33
2023-01-28,169.97
2023-01-01,170.71
2023-01-02,171.13
2023-01-03,171.08
2023-01-04,170.95
2023-01-05,170.83
2023-01-06,170.5
2023-01-07,171.49
2023-01-08,171.57
2023-01-09,171.74
2023-01-10,172.63
2023-01-11,172.78
2023-01-12,173.11
2023-01-13,174.26
2023-01-14,174.49
2023-01-15,174.82
2023-01-16,174.66
2023-01-17,174.56
2023-01-18,174.61
2023-01-19,175.33
2023-01-20,176.01
2023-01-21,176.62
2023-01-22,177.1
2023-01-23,177.96
2023-01-24,177.53
2023-01-25,177.95
2023-01-26,178.26
2023-01-27,178.63
2023-01-28,178.39
2023-01-01,179.34
2023-01-02,179.42
2023-01-03,179.97
2023-01-04,180.94
2023-01-05,180.67
2023-01-06,180.65
2023-01-07,181.48
2023-01-08,181.69
2023-01-09,182.86
2023-01-10,182.92
2023-01-11,182.45
2023-01-12,183.39
2023-01-13,182.97
2023-01-14,183.43
2023-01-15,183.35
2023-01-16,183.99
2023-01-17,184.57
2023-01-18,185.29
2023-01-19,184.99
2023-01-20,184.6
2023-01-21,184.97
2023-01-22,185.91
2023-01-23,185.88
2023-01-24,186.96
2023-01-25,187.99
2023-01-26,187.7
2023-01-27,187.77
2023-01-28,188.2
2023-01-01,189.02
2023-01-02,190.13
2023-01-03,189.98
2023-01-04,190.57
2023-01-05,191.35
2023-01-06,192.04
2023-01-07,192.98
2023-01-08,192.64
2023-01-09,192.35
2023-01-10,193.45
2023-01-11,193.14
2023-01-12,193.99
2023-01-13,193.82
2023-01-14,194.11
2023-01-15,193.61
2023-01-16,193.61
2023-01-17,193.86
2023-01-18,194.69
2023-01-19,194.92
2023-01-20,194.74
2023-01-21,195.48
2023-01-22,195.14
2023-01-23,195.84
2023-01-24,196.82
2023-01-25,196.46
2023-01-26,197.65
2023-01-27,198.4
2023-01-28,199.53
2023-01-01,200.2
2023-01-02,201.17
2023-01-03,200.95
2023-01-04,201.88
2023-01-05,201.6
2023-01-06,202.18
2023-01-07,202.64
2023-01-08,202.53
2023-01-09,202.3
2023-01-10,202.34
2023-01-11,203.32
2023-01-12,203.77
2023-01-13,203.28
2023-01-14,203.91
2023-01-15,203.87
2023-01-16,204.42
2023-01-17,204.67
2023-01-18,204.6
2023-01-19,204.53
2023-01-20,205.34
2023-01-21,205.43
2023-01-22,206.38
2023-01-23,206.62
2023-01-24,207.05
2023-01-25,207.98
2023-01-26,208.51
2023-01-27,208.53
2023-01-28,208.1
2023-01-01,208.2
2023-01-02,208.76
2023-01-03,209.43
2023-01-04,209.99
2023-01-05,211.16
2023-01-06,211.56
2023-01-07,211.55
2023-01-08,211.91
2023-01-09,213.03
2023-01-10,213.93
2023-01-11,214.29
2023-01-12,215.21
2023-01-13,216.32
2023-01-14,215.83
2023-01-15,215.33
2023-01-16,216.21
2023-01-17,216.21
2023-01-18,217.14
2023-01-19,218.12
2023-01-20,218.01
2023-01-21,218.84
2023-01-22,218.35
2023-01-23,217.91
2023-01-24,217.55
2023-01-25,217.58
2023-01-26,218.08
2023-01-27,218.33
2023-01-28,218.36
2023-01-01,218.32
2023-01-02,218.71
2023-01-03,219.34
2023-01-04,219.02
2023-01-05,220.11
2023-01-06,220.43
2023-01-07,220.74
2023-01-08,220.57
2023-01-09,221.44
2023-01-10,222.25
2023-01-11,223.02
2023-01-12,223.54
2023-01-13,224.73
2023-01-14,224.37
2023-01-15,224.23
2023-01-16,224.25
2023-01-17,224.4
2023-01-18,224.76
2023-01-19,224.83
2023-01-20,225.23
2023-01-21,225.96
2023-01-22,225.57
2023-01-23,225.57
2023-01-24,225.28
2023-01-25,225.84
2023-01-26,226.25
2023-01-27,227.08
2023-01-28,226.58
2023-01-01,227.65
2023-01-02,228.08
2023-01-03,228.98
2023-01-04,229.98
2023-01-05,230.16
2023-01-06,229.91
2023-01-07,230.31
2023-01-08,230.77
2023-01-09,231.47
2023-01-10,231.18
2023-01-11,232.25
2023-01-12,232.08
2023-01-13,232.37
2023-01-14,232.34
2023-01-15,233.43
2023-01-16,234.37
2023-01-17,234.36
2023-01-18,234.13
2023-01-19,234.7
2023-01-20,235.7
2023-01-21,236.78
2023-01-22,236.72
2023-01-23,236.53
2023-01-24,236.59
2023-01-25,236.25
2023-01-26,235.93
2023-01-27,236.35
2023-01-28,237.25
2023-01-01,237.22
2023-01-02,237.77
2023-01-03,237.52
2023-01-04,237.15
2023-01-05,237.51
2023-01-06,237.61
2023-01-07,238.38
2023-01-08,238.81
2023-01-09,239.89
2023-01-10,239.66
2023-01-11,240.25
2023-01-12,240.37
2023-01-13,241.52
2023-01-14,242.37
2023-01-15,241.97
2023-01-16,241.81
2023-01-17,242.26
2023-01-18,242.12
2023-01-19,242.95
2023-01-20,242.63
2023-01-21,243.52
2023-01-22,243.62
2023-01-23,243.27
2023-01-24,243.54
2023-01-25,244.29
2023-01-26,245.32
2023-01-27,246.33
2023-01-28,246.53
2023-01-01,247.57
2023-01-02,248.18
2023-01-03,248.62
2023-01-04,249.61
2023-01-05,250.77
2023-01-06,251.47
2023-01-07,252.44
2023-01-08,253.25
2023-01-09,253.69
2023-01-10,254.51
2023-01-11,254.32
2023-01-12,254.79
2023-01-13,254.96
2023-01-14,254.93
2023-01-15,255.62
2023-01-16,256.59
2023-01-17,256.23
2023-01-18,257.01
2023-01-19,257.55
2023-01-20,257.45
2023-01-21,257.93
2023-01-22,258.73
2023-01-23,258.96
2023-01-24,259.01
2023-01-25,258.82
2023-01-26,258.99
2023-01-27,258.95
2023-01-28,258.59
2023-01-01,259.25
2023-01-02,260.34
2023-01-03,261.2
2023-01-04,262.19
2023-01-05,262.9
2023-01-06,262.87
2023-01-07,263.0
2023-01-08,263.83
2023-01-09,264.0
2023-01-10,264.61
2023-01-11,265.31
2023-01-12,265.4
2023-01-13,265.15
2023-01-14,266.1
2023-01-15,265.8
2023-01-16,265.98
2023-01-17,266.6
2023-01-18,266.31
2023-01-19,266.86
2023-01-20,267.81
2023-01-21,267.71
2023-01-22,267.92
2023-01-23,267.74
2023-01-24,267.91
2023-01-25,268.01
2023-01-25,268.02
2023-01-25,268.03
2023-01-25,268.04
2023-01-25,268.05
2023-01-25,268.06
2023-01-25,268.07
2023-01-25,268.08
2023-01-25,268.09
2023-01-25,268.10
2023-01-25,268.11
2023-01-25,268.12
2023-01-25,268.13
2023-01-25,268.14
2023-01-25,268.15
2023-01-25,268.16
2023-01-25,268.17
2023-01-25,268.18
2023-01-25,268.19
2023-01-25,268.20
2023-01-25,268.21
2023-01-25,268.22
2023-01-25,268.23
2023-01-25,268.24
2023-01-25,268.25
2023-01-25,268.26
2023-01-25,268.27
2023-01-25,268.28
2023-01-25,268.29
2023-01-25,268.30
2023-01-25,268.31
2023-01-25,268.32
2023-01-25,268.33
2023-01-25,268.34
2023-01-25,268.35
2023-01-25,268.36
2023-01-25,268.37
2023-01-25,268.38
2023-01-25,268.39
2023-01-25,268.40
2023-01-25,268.41
2023-01-25,268.42
2023-01-25,268.43
2023-01-25,268.44
2023-01-25,268.45
2023-01-25,268.46
2023-01-25,268.47
2023-01-25,268.48
2023-01-25,268.49
2023-01-25,268.50
2023-01-25,268.51
2023-01-25,268.52
2023-01-25,268.53
2023-01-25,268.54
2023-01-25,268.55
2023-01-25,268.56
2023-01-25,268.57
2023-01-25,268.58
2023-01-25,268.59
2023-01-25,268.60
2023-01-25,268.61
2023-01-25,268.62
2023-01-25,268.63
2023-01-25,268.64
2023-01-25,268.65
2023-01-25,268.66
2023-01-25,268.67
2023-01-25,268.68
2023-01-25,268.69
2023-01-25,268.70
2023-01-25,268.71
2023-01-25,268.72
2023-01-25,268.73
2023-01-25,268.74
2023-01-25,268.75
2023-01-25,268.76
2023-01-25,268.77
2023-01-25,268.78
2023-01-25,268.79
2023-01-25,268.80
2023-01-25,268.81
2023-01-25,268.82
2023-01-25,268.83
2023-01-25,268.84
2023-01-25,268.85
2023-01-25,268.86
2023-01-25,268.87
2023-01-25,268.88
2023-01-25,268.89
2023-01-25,268.90
2023-01-25,268.91
2023-01-25,268.92
2023-01-25,268.93
2023-01-25,268.94
2023-01-25,268.95
2023-01-25,268.96
2023-01-25,268.97
2023-01-25,268.98
2023-01-25,268.99
2023-01-25,269.00
2023-01-26,268.01
2023-01-26,268.02
2023-01-26,268.03
2023-01-26,268.04
2023-01-26,268.05
2023-01-26,268.06
2023-01-26,268.07
2023-01-26,268.08
2023-01-26,268.09
2023-01-26,268.10
2023-01-26,268.11
2023-01-26,268.12
2023-01-26,268.13
2023-01-26,268.14
2023-01-26,268.15
2023-01-26,268.16
2023-01-26,268.17
2023-01-26,268.18
2023-01-26,268.19
2023-01-26,268.20
2023-01-26,268.21
2023-01-26,268.22
2023-01-26,268.23
2023-01-26,268.24
2023-01-26,268.25
2023-01-26,268.26
2023-01-26,268.27
2023-01-26,268.28
2023-01-26,268.29
2023-01-26,268.30
2023-01-26,268.31
2023-01-26,268.32
2023-01-26,268.33
2023-01-26,268.34
2023-01-26,268.35
2023-01-26,268.36
2023-01-26,268.37
2023-01-26,268.38
2023-01-26,268.39
2023-01-26,268.40
2023-01-26,268.41
2023-01-26,268.42
2023-01-26,268.43
2023-01-26,268.44
2023-01-26,268.45
2023-01-26,268.46
2023-01-26,268.47
2023-01-26,268.48
2023-01-26,268.49
2023-01-26,268.50
2023-01-26,268.51
2023-01-26,268.52
2023-01-26,268.53
2023-01-26,268.54
2023-01-26,268.55
2023-01-26,268.56
2023-01-26,268.57
2023-01-26,268.58
2023-01-26,268.59
2023-01-26,268.60
2023-01-26,268.61
2023-01-26,268.62
2023-01-26,268.63
2023-01-26,268.64
2023-01-26,268.65
2023-01-26,268.66
2023-01-26,268.67
2023-01-26,268.68
2023-01-26,268.69
2023-01-26,268.70
2023-01-26,268.71
2023-01-26,268.72
2023-01-26,268.73
2023-01-26,268.74
2023-01-26,268.75
2023-01-26,268.76
2023-01-26,268.77
2023-01-26,268.78
2023-01-26,268.79
2023-01-26,268.80
2023-01-26,268.81
2023-01-26,268.82
2023-01-26,268.83
2023-01-26,268.84
2023-01-26,268.85
2023-01-26,268.86
2023-01-26,268.87
2023-01-26,268.88
2023-01-26,268.89
2023-01-26,268.90
2023-01-26,268.91
2023-01-26,268.92
2023-01-26,268.93
2023-01-26,268.94
2023-01-26,268.95
2023-01-26,268.96
2023-01-26,268.97
2023-01-26,268.98
2023-01-26,268.99
2023-01-26,269.00
2023-01-27,268.01
2023-01-27,268.02
2023-01-27,268.03
2023-01-27,268.04
2023-01-27,268.05
2023-01-27,268.06
2023-01-27,268.07
2023-01-27,268.08
2023-01-27,268.09
2023-01-27,268.10
2023-01-27,268.11
2023-01-27,268.12
2023-01-27,268.13
2023-01-27,268.14
2023-01-27,268.15
2023-01-27,268.16
2023-01-27,268.17
2023-01-27,268.18
2023-01-27,268.19
2023-01-27,268.20
2023-01-27,268.21
2023-01-27,268.22
2023-01-27,268.23
2023-01-27,268.24
2023-01-27,268.25
2023-01-27,268.26
2023-01-27,268.27
2023-01-27,268.28
2023-01-27,268.29
2023-01-27,268.30
2023-01-27,268.31
2023-01-27,268.32
2023-01-27,268.33
2023-01-27,268.34
2023-01-27,268.35
2023-01-27,268.36
2023-01-27,268.37
2023-01-27,268.38
2023-01-27,268.39
2023-01-27,268.40
2023-01-27,268.41
2023-01-27,268.42
2023-01-27,268.43
2023-01-27,268.44
2023-01-27,268.45
2023-01-27,268.46
2023-01-27,268.47
2023-01-27,268.48
2023-01-27,268.49
2023-01-27,268.50
2023-01-27,268.51
2023-01-27,268.52
2023-01-27,268.53
2023-01-27,268.54
2023-01-27,268.55
2023-01-27,268.56
2023-01-27,268.57
2023-01-27,268.58
2023-01-27,268.59
2023-01-27,268.60
2023-01-27,268.61
2023-01-27,268.62
2023-01-27,268.63
2023-01-27,268.64
2023-01-27,268.65
2023-01-27,268.66
2023-01-27,268.67
2023-01-27,268.68
2023-01-27,268.69
2023-01-27,268.70
2023-01-27,268.71
2023-01-27,268.72
2023-01-27,268.73
2023-01-27,268.74
2023-01-27,268.75
2023-01-27,268.76
2023-01-27,268.77
2023-01-27,268.78
2023-01-27,268.79
2023-01-27,268.80
2023-01-27,268.81
2023-01-27,268.82
2023-01-27,268.83
2023-01-27,268.84
2023-01-27,268.85
2023-01-27,268.86
2023-01-27,268.87
2023-01-27,268.88
2023-01-27,268.89
2023-01-27,268.90
2023-01-27,268.91
2023-01-27,268.92
2023-01-27,268.93
2023-01-27,268.94
2023-01-27,268.95
2023-01-27,268.96
2023-01-27,268.97
2023-01-27,268.98
2023-01-27,268.99
2023-01-27,269.00
2023-01-28,269.01
2023-01-28,269.02
2023-01-28,269.03
2023-01-28,269.04
2023-01-28,269.05
2023-01-28,269.06
2023-01-28,269.07
2023-01-28,269.08
2023-01-28,269.09
2023-01-28,269.10
2023-01-28,269.11
2023-01-28,269.12
2023-01-28,269.13
2023-01-28,269.14
2023-01-28,269.15
2023-01-28,269.16
2023-01-28,269.17
2023-01-28,269.18
2023-01-28,269.19
2023-01-28,269.20
2023-01-28,269.21
2023-01-28,269.22
2023-01-28,269.23
2023-01-28,269.24
2023-01-28,269.25
2023-01-28,269.26
2023-01-28,269.27
2023-01-28,269.28
2023-01-28,269.29
2023-01-28,269.30
2023-01-28,269.31
2023-01-28,269.32
2023-01-28,269.33
2023-01-28,269.34
2023-01-28,269.35
2023-01-28,269.36
2023-01-28,269.37
2023-01-28,269.38
2023-01-28,269.39
2023-01-28,269.40
2023-01-28,269.41
2023-01-28,269.42
2023-01-28,269.43
2023-01-28,269.44
2023-01-28,269.45
2023-01-28,269.46
2023-01-28,269.47
2023-01-28,269.48
2023-01-28,269.49
2023-01-28,269.50
2023-01-28,269.51
2023-01-28,269.52
2023-01-28,269.53
2023-01-28,269.54
2023-01-28,269.55
2023-01-28,269.56
2023-01-28,269.57
2023-01-28,269.58
2023-01-28,269.59
2023-01-28,269.60
2023-01-28,269.61
2023-01-28,269.62
2023-01-28,269.63
2023-01-28,269.64
2023-01-28,269.65
2023-01-28,269.66
2023-01-28,269.67
2023-01-28,269.68
2023-01-28,269.69
2023-01-28,269.70
2023-01-28,269.71
2023-01-28,269.72
2023-01-28,269.73
2023-01-28,269.74
2023-01-28,269.75
2023-01-28,269.76
2023-01-28,269.77
2023-01-28,269.78
2023-01-28,269.79
2023-01-28,269.80
2023-01-28,269.81
2023-01-28,269.82
2023-01-28,269.83
2023-01-28,269.84
2023-01-28,269.85
2023-01-28,269.86
2023-01-28,269.87
2023-01-28,269.88
2023-01-28,269.89
2023-01-28,269.90
2023-01-28,269.91
2023-01-28,269.92
2023-01-28,269.93
2023-01-28,269.94
2023-01-28,269.95
2023-01-28,269.96
2023-01-28,269.97
2023-01-28,269.98
2023-01-28,269.99
2023-01-28,270.00
2023-01-28,270.01
2023-01-28,270.02
2023-01-28,270.03
2023-01-28,270.04
2023-01-28,270.05
2023-01-28,270.06
2023-01-28,270.07
2023-01-28,270.08
2023-01-28,270.09
2023-01-28,270.10
2023-01-28,270.11
2023-01-28,270.12
2023-01-28,270.13
2023-01-28,270.14
2023-01-28,270.15
2023-01-28,270.16
2023-01-28,270.17
2023-01-28,270.18
2023-01-28,270.19
2023-01-28,270.20
2023-01-28,270.21
2023-01-28,270.22
2023-01-28,270.23
2023-01-28,270.24
2023-01-28,270.25
2023-01-28,270.26
2023-01-28,270.27
2023-01-28,270.28
2023-01-28,270.29
2023-01-28,270.30
2023-01-28,270.31
2023-01-28,270.32
2023-01-28,270.33
2023-01-28,270.34
2023-01-28,270.35
2023-01-28,270.36
2023-01-28,270.37
2023-01-28,270.38
2023-01-28,270.39
2023-01-28,270.40
2023-01-28,270.41
2023-01-28,270.42
2023-01-28,270.43
2023-01-28,270.44
2023-01-28,270.45
2023-01-28,270.46
2023-01-28,270.47
2023-01-28,270.48
2023-01-28,270.49
2023-01-28,270.50
2023-01-28,270.51
2023-01-28,270.52
2023-01-28,270.53
2023-01-28,270.54
2023-01-28,270.55
2023-01-28,270.56
2023-01-28,270.57
2023-01-28,270.58
2023-01-28,270.59
2023-01-28,270.60
2023-01-28,270.61
2023-01-28,270.62
2023-01-28,270.63
2023-01-28,270.64
2023-01-28,270.65
2023-01-28,270.66
2023-01-28,270.67
2023-01-28,270.68
2023-01-28,270.69
2023-01-28,270.70
2023-01-28,270.71
2023-01-28,270.72
2023-01-28,270.73
2023-01-28,270.74
2023-01-28,270.75
2023-01-28,270.76
2023-01-28,270.77
2023-01-28,270.78
2023-01-28,270.79
2023-01-28,270.80
2023-01-28,270.81
2023-01-28,270.82
2023-01-28,270.83
2023-01-28,270.84
2023-01-28,270.85
2023-01-28,270.86
2023-01-28,270.87
2023-01-28,270.88
2023-01-28,270.89
2023-01-28,270.90
2023-01-28,270.91
2023-01-28,270.92
2023-01-28,270.93
2023-01-28,270.94
2023-01-28,270.95
2023-01-28,270.96
2023-01-28,270.97
2023-01-28,270.98
2023-01-28,270.99
2023-01-28,271.00
2023-01-28,271.01
2023-01-28,271.02
2023-01-28,271.03
2023-01-28,271.04
2023-01-28,271.05
2023-01-28,271.06
2023-01-28,271.07
2023-01-28,271.08
2023-01-28,271.09
2023-01-28,271.10
2023-01-28,271.11
2023-01-28,271.12
2023-01-28,271.13
2023-01-28,271.14
2023-01-28,271.15
2023-01-28,271.16
2023-01-28,271.17
2023-01-28,271.18
2023-01-28,271.19
2023-01-28,271.20
2023-01-28,271.21
2023-01-28,271.22
2023-01-28,271.23
2023-01-28,271.24
2023-01-28,271.25
2023-01-28,271.26
2023-01-28,271.27
2023-01-28,271.28
2023-01-28,271.29
2023-01-28,271.30
2023-01-28,271.31
2023-01-28,271.32
2023-01-28,271.33
2023-01-28,271.34
2023-01-28,271.35
2023-01-28,271.36
2023-01-28,271.37
2023-01-28,271.38
2023-01-28,271.39
2023-01-28,271.40
2023-01-28,271.41
2023-01-28,271.42
2023-01-28,271.43
2023-01-28,271.44
2023-01-28,271.45
2023-01-28,271.46
2023-01-28,271.47
2023-01-28,271.48
2023-01-28,271.49
2023-01-28,271.50
2023-01-28,271.51
2023-01-28,271.52
2023-01-28,271.53
2023-01-28,271.54
2023-01-28,271.55
2023-01-28,271.56
2023-01-28,271.57
2023-01-28,271.58
2023-01-28,271.59
2023-01-28,271.60
2023-01-28,271.61
2023-01-28,271.62
2023-01-28,271.63
2023-01-28,271.64
2023-01-28,271.65
2023-01-28,271.66
2023-01-28,271.67
2023-01-28,271.68
2023-01-28,271.69
2023-01-28,271.70
2023-01-28,271.71
2023-01-28,271.72
2023-01-28,271.73
2023-01-28,271.74
2023-01-28,271.75
2023-01-28,271.76
2023-01-28,271.77
2023-01-28,271.78
2023-01-28,271.79
2023-01-28,271.80
2023-01-28,271.81
2023-01-28,271.82
2023-01-28,271.83
2023-01-28,271.84
2023-01-28,271.85
2023-01-28,271.86
2023-01-28,271.87
2023-01-28,271.88
2023-01-28,271.89
2023-01-28,271.90
2023-01-28,271.91
2023-01-28,271.92
2023-01-28,271.93
2023-01-28,271.94
2023-01-28,271.95
2023-01-28,271.96
2023-01-28,271.97
2023-01-28,271.98
2023-01-28,271.99
2023-01-28,272.00
2023-01-28,272.01
2023-01-28,272.02
2023-01-28,272.03
2023-01-28,272.04
2023-01-28,272.05
2023-01-28,272.06
2023-01-28,272.07
2023-01-28,272.08
2023-01-28,272.09
2023-01-28,272.10
2023-01-28,272.11
2023-01-28,272.12
2023-01-28,272.13
2023-01-28,272.14
2023-01-28,272.15
2023-01-28,272.16
2023-01-28,272.17
2023-01-28,272.18
2023-01-28,272.19
2023-01-28,272.20
2023-01-28,272.21
2023-01-28,272.22
2023-01-28,272.23
2023-01-28,272.24
2023-01-28,272.25
2023-01-28,272.26
2023-01-28,272.27
2023-01-28,272.28
2023-01-28,272.29
2023-01-28,272.30
2023-01-28,272.31
2023-01-28,272.32
2023-01-28,272.33
2023-01-28,272.34
2023-01-28,272.35
2023-01-28,272.36
2023-01-28,272.37
2023-01-28,272.38
2023-01-28,272.39
2023-01-28,272.40
2023-01-28,272.41
2023-01-28,272.42
2023-01-28,272.43
2023-01-28,272.44
2023-01-28,272.45
2023-01-28,272.46
2023-01-28,272.47
2023-01-28,272.48
2023-01-28,272.49
2023-01-28,272.50
2023-01-28,272.51
2023-01-28,272.52
2023-01-28,272.53
2023-01-28,272.54
2023-01-28,272.55
2023-01-28,272.56
2023-01-28,272.57
2023-01-28,272.58
2023-01-28,272.59
2023-01-28,272.60
2023-01-28,272.61
2023-01-28,272.62
2023-01-28,272.63
2023-01-28,272.64
2023-01-28,272.65
2023-01-28,272.66
2023-01-28,272.67
2023-01-28,272.68
2023-01-28,272.69
2023-01-28,272.70
2023-01-28,272.71
2023-01-28,272.72
2023-01-28,272.73
2023-01-28,272.74
2023-01-28,272.75
2023-01-28,272.76
2023-01-28,272.77
2023-01-28,272.78
2023-01-28,272.79
2023-01-28,272.80
2023-01-28,272.81
2023-01-28,272.82
2023-01-28,272.83
2023-01-28,272.84
2023-01-28,272.85
2023-01-28,272.86
2023-01-28,272.87
2023-01-28,272.88
2023-01-28,272.89
2023-01-28,272.90
2023-01-28,272.91
2023-01-28,272.92
2023-01-28,272.93
2023-01-28,272.94
2023-01-28,272.95
2023-01-28,272.96
2023-01-28,272.97
2023-01-28,272.98
2023-01-28,272.99
2023-01-28,273.00
2023-01-29,273.01
2023-01-29,273.02
2023-01-29,273.03
2023-01-29,273.04
2023-01-29,273.05
2023-01-29,273.06
2023-01-29,273.07
2023-01-29,273.08
2023-01-29,273.09
2023-01-29,273.10
2023-01-29,273.11
2023-01-29,273.12
2023-01-29,273.13
2023-01-29,273.14
2023-01-29,273.15
2023-01-29,273.16
2023-01-29,273.17
2023-01-29,273.18
2023-01-29,273.19
2023-01-29,273.20
2023-01-29,273.21
2023-01-29,273.22
2023-01-29,273.23
2023-01-29,273.24
2023-01-29,273.25
2023-01-29,273.26
2023-01-29,273.27
2023-01-29,273.28
2023-01-29,273.29
2023-01-29,273.30
2023-01-29,273.31
2023-01-29,273.32
2023-01-29,273.33
2023-01-29,273.34
2023-01-29,273.35
2023-01-29,273.36
2023-01-29,273.37
2023-01-29,273.38
2023-01-29,273.39
2023-01-29,273.40
2023-01-29,273.41
2023-01-29,273.42
2023-01-29,273.43
2023-01-29,273.44
2023-01-29,273.45
2023-01-29,273.46
2023-01-29,273.47
2023-01-29,273.48
2023-01-29,273.49
2023-01-29,273.50
2023-01-29,273.51
2023-01-29,273.52
2023-01-29,273.53
2023-01-29,273.54
2023-01-29,273.55
2023-01-29,273.56
2023-01-29,273.57
2023-01-29,273.58
2023-01-29,273.59
2023-01-29,273.60
2023-01-29,273.61
2023-01-29,273.62
2023-01-29,273.63
2023-01-29,273.64
2023-01-29,273.65
2023-01-29,273.66
2023-01-29,273.67
2023-01-29,273.68
2023-01-29,273.69
2023-01-29,273.70
2023-01-29,273.71
2023-01-29,273.72
